=== Density-anchor filtration ===
n = 160 | m = 25 | k_density = 6 | lambda = 2.00000000000000 | schedule = quantile | include_X = False | tiny_k = 1
Tau quantiles: start = 0.100000000000000 | end = 0.980000000000000
Merge maximals: False | do_saturation = True | saturation_passes = 1

i	tau	#T0	#max	beta0	beta1	avg|Ux|	avg|Vx|	#anchors	covered	uncovered	#V	#E	#T	#S	cont_ok?
----------------------------------------------------------------------------------------------------------------------------------------------------------------
1	-	160	160	160	0	1.00	1.00	0	160	0160	0	0	160	-
2	3.573027	36	13	6	0	19.22	19.22	139	159	1	13	9	2	24	ok
3	3.870510	34	13	6	0	20.10	18.35	133	159	1	13	9	2	24	ok
4	4.175022	34	13	6	0	20.10	16.35	127	159	1	13	9	2	24	ok
5	4.423534	34	12	5	0	20.44	15.81	122	159	1	12	9	2	23	ok
6	4.795004	33	12	5	0	21.49	14.81	115	156	4	12	9	2	23	ok
7	4.944536	33	12	5	0	21.49	14.41	110	155	5	12	9	2	23	ok
8	5.292499	33	12	5	0	21.49	14.62	104	154	6	12	9	2	23	ok
9	5.454206	33	12	5	0	21.49	14.56	98	154	6	12	9	2	23	ok
10	5.770185	33	12	5	0	21.49	14.52	92	151	9	12	9	2	23	ok
11	5.969933	32	12	5	0	21.49	14.58	86	150	10	12	9	2	23	ok
12	6.180130	32	12	5	0	21.49	14.20	80	146	14	12	9	2	23	ok
13	6.488197	32	12	5	0	21.68	15.47	75	140	20	12	9	2	23	ok
14	6.877595	32	12	5	0	21.68	16.52	69	133	27	12	9	2	23	ok
15	6.962978	32	12	5	0	21.69	16.68	64	128	32	12	9	2	23	ok
16	7.251314	32	12	5	0	21.69	17.08	57	122	38	12	9	2	23	ok
17	7.392713	32	12	5	0	21.69	16.77	51	121	39	12	9	2	23	ok
18	7.724952	32	12	5	0	21.69	16.98	45	118	42	12	9	2	23	ok
19	7.846031	32	12	5	0	21.69	16.46	41	118	42	12	9	2	23	ok
20	7.993758	32	12	5	0	21.69	15.71	34	114	46	12	9	2	23	ok
21	8.166884	32	12	5	0	21.69	17.07	28	94	66	12	9	2	23	ok
22	8.418846	32	12	5	0	21.69	17.67	22	82	78	12	9	2	23	ok
23	9.154808	32	12	5	0	21.69	17.84	16	72	88	12	9	2	23	ok
24	10.003319	32	12	5	0	21.69	19.43	11	51	109	12	9	2	23	ok
25	10.335089	32	12	5	0	21.69	19.81	5	33	127	12	9	2	23	ok

