=== Density-anchor filtration ===
n = 160 | m = 25 | k_density = 6 | lambda = 2.00000000000000 | schedule = quantile | include_X = False | tiny_k = 1
Tau quantiles: start = 0.100000000000000 | end = 0.980000000000000
Merge maximals: False | do_saturation = True | saturation_passes = 1

i	tau	#T0	#max	beta0	beta1	avg|Ux|	avg|Vx|	#anchors	covered	uncovered	#V	#E	#T	#S	cont_ok?
----------------------------------------------------------------------------------------------------------------------------------------------------------------
1	-	160	160	160	0	1.00	1.00	0	160	0160	0	0	160	-
2	1.164933	43	15	4	0	11.21	11.21	139	158	2	15	11	0	26	ok
3	1.320118	42	14	4	0	11.96	10.46	133	158	2	14	10	0	24	ok
4	1.378989	41	14	4	0	12.28	9.81	127	158	2	14	10	0	24	ok
5	1.410477	41	13	3	0	12.59	9.68	122	158	2	13	10	0	23	ok
6	1.459240	39	13	3	0	12.68	10.05	115	157	3	13	10	0	23	ok
7	1.487219	35	13	3	0	13.01	10.01	110	157	3	13	10	0	23	ok
8	1.520887	33	11	3	0	13.70	9.91	104	155	5	11	8	0	19	ok
9	1.542581	31	10	2	0	14.69	10.83	98	154	6	10	8	0	18	ok
10	1.599597	30	10	2	0	14.71	10.78	92	149	11	10	8	0	18	ok
11	1.628865	30	10	2	0	14.71	10.46	86	144	16	10	8	0	18	ok
12	1.674425	27	10	1	0	15.86	11.17	80	133	27	10	9	0	19	ok
13	1.761418	26	9	1	0	16.26	10.77	75	123	37	9	8	0	17	ok
14	1.868784	26	9	1	0	16.26	9.86	69	121	39	9	8	0	17	ok
15	1.923019	26	9	1	0	16.26	10.34	64	118	42	9	8	0	17	ok
16	2.123555	26	9	1	0	16.26	11.44	57	101	59	9	8	0	17	ok
17	2.224774	25	9	1	0	16.56	11.95	51	95	65	9	8	0	17	ok
18	2.371769	25	9	1	0	16.56	11.72	45	94	66	9	8	0	17	ok
19	2.426328	25	9	1	0	16.56	11.69	40	72	88	9	8	0	17	ok
20	2.536074	25	9	1	0	16.56	11.75	34	71	89	9	8	0	17	ok
21	2.701183	25	9	1	0	16.56	11.92	28	65	95	9	8	0	17	ok
22	2.884813	25	9	1	1	17.34	12.11	22	62	98	9	10	1	20	ok
23	3.294768	25	9	1	1	17.34	13.47	16	47	113	9	10	1	20	ok
24	3.527568	25	9	1	1	17.34	13.50	11	40	120	9	10	1	20	ok
25	3.841030	25	9	1	1	17.34	14.07	5	29	131	9	10	1	20	ok

