=== Density-anchor filtration ===
n = 120 | m = 25 | k_density = 6 | lambda = 2.00000000000000 | schedule = quantile | include_X = False | tiny_k = 1
Tau quantiles: start = 0.100000000000000 | end = 0.980000000000000
Merge maximals: False | do_saturation = True | saturation_passes = 1

i	tau	#T0	#max	beta0	beta1	avg|Ux|	avg|Vx|	#anchors	covered	uncovered	#V	#E	#T	#S	cont_ok?
----------------------------------------------------------------------------------------------------------------------------------------------------------------
1	-	120	120	120	0	1.00	1.00	0	120	0120	0	0	120	-
2	2.694767	17	11	7	0	16.70	16.70	104	119	1	11	4	0	15	ok
3	2.821739	17	11	7	0	16.70	16.24	100	119	1	11	4	0	15	ok
4	2.921038	17	11	7	0	16.70	16.24	96	119	1	11	4	0	15	ok
5	3.115504	17	11	6	0	16.95	16.14	91	119	1	11	5	0	16	ok
6	3.365122	17	11	6	0	16.95	16.34	87	118	2	11	5	0	16	ok
7	3.534567	17	11	6	0	16.95	16.20	82	118	2	11	5	0	16	ok
8	3.879500	17	11	6	0	16.95	15.94	78	118	2	11	5	0	16	ok
9	3.993200	17	11	6	0	16.95	15.45	74	117	3	11	5	0	16	ok
10	4.090316	17	11	6	0	16.95	15.16	69	116	4	11	5	0	16	ok
11	4.163994	17	11	6	0	16.95	15.32	65	113	7	11	5	0	16	ok
12	4.280396	17	11	6	0	16.95	15.14	61	111	9	11	5	0	16	ok
13	4.525503	17	11	6	0	16.95	14.69	56	111	9	11	5	0	16	ok
14	4.604975	17	11	6	0	16.95	14.72	52	110	10	11	5	0	16	ok
15	4.670300	17	11	6	0	16.95	14.95	48	109	11	11	5	0	16	ok
16	4.934390	17	11	6	0	16.95	14.53	43	108	12	11	5	0	16	ok
17	5.231138	17	11	6	0	16.95	14.83	39	100	20	11	5	0	16	ok
18	5.361061	17	11	6	0	16.95	14.51	34	96	24	11	5	0	16	ok
19	5.415356	17	11	6	0	16.95	13.91	30	89	31	11	5	0	16	ok
20	5.599900	17	11	6	0	16.95	14.44	26	79	41	11	5	0	16	ok
21	5.841799	17	11	6	0	16.95	15.06	22	62	58	11	5	0	16	ok
22	5.945841	17	11	6	0	16.95	15.31	17	60	60	11	5	0	16	ok
23	6.345188	17	11	6	0	16.95	15.55	13	57	63	11	5	0	16	ok
24	6.526183	17	11	6	0	16.95	15.55	8	57	63	11	5	0	16	ok
25	6.889520	17	11	6	0	16.95	14.88	4	37	83	11	5	0	16	ok

