=== Density-anchor filtration ===
n = 192 | m = 25 | k_density = 6 | lambda = 2.00000000000000 | schedule = quantile | include_X = False | tiny_k = 1
Tau quantiles: start = 0.100000000000000 | end = 0.980000000000000
Merge maximals: False | do_saturation = True | saturation_passes = 1

i	tau	#T0	#max	beta0	beta1	avg|Ux|	avg|Vx|	#anchors	covered	uncovered	#V	#E	#T	#S	cont_ok?
----------------------------------------------------------------------------------------------------------------------------------------------------------------
1	-	192	192	192	0	1.00	1.00	0	192	0192	0	0	192	-
2	1.488534	28	12	2	0	18.99	18.99	166	192	0	12	10	0	22	ok
3	1.683490	28	12	2	0	18.99	16.95	159	189	3	12	10	0	22	ok
4	1.941609	28	12	2	0	18.99	15.49	152	185	7	12	10	0	22	ok
5	2.305711	26	12	2	0	19.50	14.78	145	176	16	12	10	0	22	ok
6	2.493547	26	12	2	0	19.50	14.31	138	170	22	12	10	0	22	ok
7	2.950179	26	12	2	0	19.50	13.19	131	165	27	12	10	0	22	ok
8	3.275800	26	12	2	0	19.50	12.78	124	163	29	12	10	0	22	ok
9	3.529940	26	12	2	0	19.50	12.61	117	160	32	12	10	0	22	ok
10	3.617260	26	12	2	0	19.50	12.74	110	159	33	12	10	0	22	ok
11	3.730691	26	12	2	0	19.50	12.75	103	155	37	12	10	0	22	ok
12	3.985983	26	12	2	0	19.50	12.88	96	151	41	12	10	0	22	ok
13	4.265963	26	12	2	0	19.50	13.01	89	145	47	12	10	0	22	ok
14	4.325031	26	12	2	0	19.50	13.29	82	142	50	12	10	0	22	ok
15	4.591337	26	12	2	0	19.50	13.52	75	135	57	12	10	0	22	ok
16	4.839831	26	12	2	0	19.50	13.29	68	134	58	12	10	0	22	ok
17	5.066065	26	12	2	0	19.50	13.56	61	131	61	12	10	0	22	ok
18	5.259174	26	12	2	0	19.50	13.59	54	126	66	12	10	0	22	ok
19	5.517219	26	12	2	0	19.50	13.45	47	124	68	12	10	0	22	ok
20	5.671763	26	12	2	0	19.50	13.26	40	110	82	12	10	0	22	ok
21	5.795354	26	12	2	0	19.50	14.40	33	95	97	12	10	0	22	ok
22	6.191222	26	12	2	0	19.50	14.90	26	89	103	12	10	0	22	ok
23	6.616650	26	12	2	0	19.50	15.65	19	65	127	12	10	0	22	ok
24	7.097055	26	12	2	0	19.50	15.89	13	50	142	12	10	0	22	ok
25	7.539347	26	12	2	0	19.50	16.68	5	28	164	12	10	0	22	ok

