=== Density-anchor filtration ===
n = 140 | m = 25 | k_density = 6 | lambda = 2.00000000000000 | schedule = quantile | include_X = False | tiny_k = 1
Tau quantiles: start = 0.100000000000000 | end = 0.980000000000000
Merge maximals: False | do_saturation = True | saturation_passes = 1

i	tau	#T0	#max	beta0	beta1	avg|Ux|	avg|Vx|	#anchors	covered	uncovered	#V	#E	#T	#S	cont_ok?
----------------------------------------------------------------------------------------------------------------------------------------------------------------
1	-	140	140	140	0	1.00	1.00	0	140	0140	0	0	140	-
2	2.994186	18	12	8	0	17.17	17.17	122	139	1	12	4	0	16	ok
3	3.186582	18	12	8	0	17.17	16.78	116	139	1	12	4	0	16	ok
4	3.382198	18	12	8	0	17.17	16.78	111	139	1	12	4	0	16	ok
5	3.622429	18	12	7	0	17.39	16.56	106	138	2	12	5	0	17	ok
6	3.779730	18	12	7	0	17.39	16.34	101	138	2	12	5	0	17	ok
7	3.927297	18	12	7	0	17.39	16.00	96	138	2	12	5	0	17	ok
8	4.310556	18	12	7	0	17.39	15.78	91	138	2	12	5	0	17	ok
9	4.412542	18	12	7	0	17.39	15.36	87	137	3	12	5	0	17	ok
10	4.544150	18	12	7	0	17.39	15.24	81	137	3	12	5	0	17	ok
11	4.626660	18	12	7	0	17.39	15.25	76	133	7	12	5	0	17	ok
12	4.755995	18	12	7	0	17.39	15.44	71	130	10	12	5	0	17	ok
13	5.028337	18	12	7	0	17.39	15.06	65	130	10	12	5	0	17	ok
14	5.136149	18	12	7	0	17.39	15.08	60	129	11	12	5	0	17	ok
15	5.296917	18	12	7	0	17.39	14.67	55	128	12	12	5	0	17	ok
16	5.385758	18	12	7	0	17.39	14.61	50	126	14	12	5	0	17	ok
17	5.643286	18	12	7	0	17.39	14.87	45	118	22	12	5	0	17	ok
18	5.852165	18	12	7	0	17.39	15.03	40	116	24	12	5	0	17	ok
19	5.999309	18	12	7	0	17.39	14.31	35	114	26	12	5	0	17	ok
20	6.194044	18	12	7	0	17.39	14.55	30	97	43	12	5	0	17	ok
21	6.488197	18	12	7	0	17.39	14.57	25	90	50	12	5	0	17	ok
22	6.575809	18	12	7	0	17.39	15.13	20	77	63	12	5	0	17	ok
23	6.962830	18	12	7	0	17.39	16.19	14	57	83	12	5	0	17	ok
24	7.098846	18	12	7	0	17.39	16.19	10	57	83	12	5	0	17	ok
25	7.655022	18	12	7	0	17.39	15.61	4	37	103	12	5	0	17	ok

